del_county	del_state	del_county_full_name	pop_density	median_hh_income
Millard County	UT	"Millard County, Utah"	0.738291316	62242
Morgan County	UT	"Morgan County, Utah"	7.792795131	91341
Piute County	UT	"Piute County, Utah"	0.732050325	
Rich County	UT	"Rich County, Utah"	0.941944345	
Salt Lake County	UT	"Salt Lake County, Utah"	616.6841617	74865
San Juan County	UT	"San Juan County, Utah"	0.716825895	45394
Sanpete County	UT	"Sanpete County, Utah"	6.90570192	53838
Sevier County	UT	"Sevier County, Utah"	4.349636167	54799
Summit County	UT	"Summit County, Utah"	8.74281858	102958
Tooele County	UT	"Tooele County, Utah"	4.043369946	74562
Uintah County	UT	"Uintah County, Utah"	3.068224656	65264
Utah County	UT	"Utah County, Utah"	127.0385167	74665
Wasatch County	UT	"Wasatch County, Utah"	11.41169046	85166
Washington County	UT	"Washington County, Utah"	28.67471575	59839
Wayne County	UT	"Wayne County, Utah"	0.390021261	
Weber County	UT	"Weber County, Utah"	175.6894554	67244
Bennington County	VT	"Bennington County, Vermont"	21.36872639	56183
Caledonia County	VT	"Caledonia County, Vermont"	17.99290723	50563
Essex County	VT	"Essex County, Vermont"	3.449945086	44349
Franklin County	VT	"Franklin County, Vermont"	30.57711351	65485
Lamoille County	VT	"Lamoille County, Vermont"	21.67084136	64003
Orange County	VT	"Orange County, Vermont"	16.44944465	60925
Rutland County	VT	"Rutland County, Vermont"	25.15479321	56139
Washington County	VT	"Washington County, Vermont"	33.63289362	62791
Windsor County	VT	"Windsor County, Vermont"	22.99333622	60987
Accomack County	VA	"Accomack County, Virginia"	28.7120869	46073
Watonwan County	MN	"Watonwan County, Minnesota"	9.989270504	54065
Cass County	MO	"Cass County, Missouri"	59.76200353	69433
Christian County	MO	"Christian County, Missouri"	60.97181162	60645
Clinton County	MO	"Clinton County, Missouri"	19.52352858	62701
Crawford County	MO	"Crawford County, Missouri"	11.98956286	44438
Daviess County	MO	"Daviess County, Missouri"	5.778351291	51679
Douglas County	MO	"Douglas County, Missouri"	5.494301846	37425
Gasconade County	MO	"Gasconade County, Missouri"	11.00566907	54885
Grundy County	MO	"Grundy County, Missouri"	8.699637801	45594
Hickory County	MO	"Hickory County, Missouri"	8.015231189	34182
Howell County	MO	"Howell County, Missouri"	16.55300687	38357
Jasper County	MO	"Jasper County, Missouri"	74.23309458	48357
Johnson County	MO	"Johnson County, Missouri"	25.1483385	55273
Lafayette County	MO	"Lafayette County, Missouri"	20.26993235	58766
Lincoln County	MO	"Lincoln County, Missouri"	36.71034338	64196
McDonald County	MO	"McDonald County, Missouri"	16.6788885	41643
Maries County	MO	"Maries County, Missouri"	6.17786142	47569
Miller County	MO	"Miller County, Missouri"	16.1081263	47171
Monroe County	MO	"Monroe County, Missouri"	5.166474569	43966
New Madrid County	MO	"New Madrid County, Missouri"	9.401919716	38679
Oregon County	MO	"Oregon County, Missouri"	4.22107462	33601
Pemiscot County	MO	"Pemiscot County, Missouri"	12.27504017	33859
Shannon County	MO	"Shannon County, Missouri"	2.704354104	34265
Stone County	MO	"Stone County, Missouri"	25.86857572	49656
Texas County	MO	"Texas County, Missouri"	8.030876389	35067
Washington County	MO	"Washington County, Missouri"	11.94790382	41483
Worth County	MO	"Worth County, Missouri"	2.857080866	
St. Louis city	MO	"St. Louis city, Missouri"	1886.092586	43896
Bay County	FL	"Bay County, Florida"	89.17416433	54316
Broward County	FL	"Broward County, Florida"	624.1857953	59547
Citrus County	FL	"Citrus County, Florida"	102.0746508	44237
Columbia County	FL	"Columbia County, Florida"	33.74146489	46494
Duval County	FL	"Duval County, Florida"	504.0222226	55807
Franklin County	FL	"Franklin County, Florida"	8.82111876	46643
Glades County	FL	"Glades County, Florida"	5.8028597	40977
Hardee County	FL	"Hardee County, Florida"	15.33764052	38682
Highlands County	FL	"Highlands County, Florida"	38.40876446	40942
Indian River County	FL	"Indian River County, Florida"	122.6993295	54740
Lafayette County	FL	"Lafayette County, Florida"	5.845417063	50165
Leon County	FL	"Leon County, Florida"	168.781124	53106
Liberty County	FL	"Liberty County, Florida"	3.684674155	38015
Marion County	FL	"Marion County, Florida"	91.37300769	45371
Monroe County	FL	"Monroe County, Florida"	32.54980448	70033
Okeechobee County	FL	"Okeechobee County, Florida"	19.90034583	41760
Arthur County	NE	"Arthur County, Nebraska"	0.234311578	
Boone County	NE	"Boone County, Nebraska"	3.025073377	54979
Brown County	NE	"Brown County, Nebraska"	0.9177136	
Butler County	NE	"Butler County, Nebraska"	5.524577011	58979
Wadena County	MN	"Wadena County, Minnesota"	10.12502206	46605
Chase County	NE	"Chase County, Nebraska"	1.680528298	
Clay County	NE	"Clay County, Nebraska"	4.118139099	57173
Cuming County	NE	"Cuming County, Nebraska"	6.099569176	56768
Dawes County	NE	"Dawes County, Nebraska"	2.267023697	50750
Dixon County	NE	"Dixon County, Nebraska"	4.546191759	56905
Dundy County	NE	"Dundy County, Nebraska"	0.694387242	
Frontier County	NE	"Frontier County, Nebraska"	0.997906985	
Garden County	NE	"Garden County, Nebraska"	0.424281797	
Grant County	NE	"Grant County, Nebraska"	0.303620317	
Hamilton County	NE	"Hamilton County, Nebraska"	6.715536854	64210
Cherokee County	AL	"Cherokee County, Alabama"	17.41813395	41919
Chilton County	AL	"Chilton County, Alabama"	25.08527966	47468
Choctaw County	AL	"Choctaw County, Alabama"	5.353142384	35892
Clarke County	AL	"Clarke County, Alabama"	7.197830886	37404
Clay County	AL	"Clay County, Alabama"	9.100815483	40845
Cleburne County	AL	"Cleburne County, Alabama"	10.378678	44741
Coffee County	AL	"Coffee County, Alabama"	30.40261337	55637
Colbert County	AL	"Colbert County, Alabama"	37.263414	48065
Conecuh County	AL	"Conecuh County, Alabama"	5.266065534	37837
Coosa County	AL	"Coosa County, Alabama"	6.161294725	38990
Crenshaw County	AL	"Crenshaw County, Alabama"	8.366769322	43163
Cullman County	AL	"Cullman County, Alabama"	46.17326174	44918
Dallas County	AL	"Dallas County, Alabama"	15.17286776	33845
DeKalb County	AL	"DeKalb County, Alabama"	35.57948876	40440
Escambia County	AL	"Escambia County, Alabama"	15.01146477	36275
Etowah County	AL	"Etowah County, Alabama"	74.63363042	44637
Franklin County	AL	"Franklin County, Alabama"	19.55908515	43514
Greene County	AL	"Greene County, Alabama"	4.612771671	24145
Hale County	AL	"Hale County, Alabama"	8.864298652	34046
Houston County	AL	"Houston County, Alabama"	71.38508675	47580
Jackson County	AL	"Jackson County, Alabama"	18.83171887	41769
Lamar County	AL	"Lamar County, Alabama"	8.918992316	38364
Lauderdale County	AL	"Lauderdale County, Alabama"	54.07858939	48094
Lee County	AL	"Lee County, Alabama"	110.7326917	51463
Lowndes County	AL	"Lowndes County, Alabama"	5.559534098	30036
Macon County	AL	"Macon County, Alabama"	12.38997652	33370
Marengo County	AL	"Marengo County, Alabama"	7.637081112	33241
Marion County	AL	"Marion County, Alabama"	15.26062802	35930
Mobile County	AL	"Mobile County, Alabama"	130.2765842	47583
Monroe County	AL	"Monroe County, Alabama"	7.442960937	30441
Morgan County	AL	"Morgan County, Alabama"	82.207368	52156
Pickens County	AL	"Pickens County, Alabama"	8.376864589	39848
Pike County	AL	"Pike County, Alabama"	18.963656	37446
Russell County	AL	"Russell County, Alabama"	35.6384013	42443
St. Clair County	AL	"St. Clair County, Alabama"	55.6946098	58308
Sumter County	AL	"Sumter County, Alabama"	5.273615162	24320
Tallapoosa County	AL	"Tallapoosa County, Alabama"	22.26050459	45828
Tuscaloosa County	AL	"Tuscaloosa County, Alabama"	66.36575553	53326
Washington County	AL	"Washington County, Alabama"	5.500206876	41370
Wilcox County	AL	"Wilcox County, Alabama"	4.609616455	31014
Alameda County	CA	"Alameda County, California"	880.8050866	99406
Alpine County	CA	"Alpine County, California"	0.629610759	
Butte County	CA	"Butte County, California"	49.93100491	52537
Colusa County	CA	"Colusa County, California"	7.327705327	59401
Contra Costa County	CA	"Contra Costa County, California"	627.9097482	99716
El Dorado County	CA	"El Dorado County, California"	43.22215995	83377
Fresno County	CA	"Fresno County, California"	65.36060756	53969
Chambers County	AL	"Chambers County, Alabama"	22.50490198	42289
Humboldt County	CA	"Humboldt County, California"	14.76622159	48041
Imperial County	CA	"Imperial County, California"	16.61661816	47622
Kern County	CA	"Kern County, California"	43.15585859	53350
Kings County	CA	"Kings County, California"	42.32663038	57848
Lassen County	CA	"Lassen County, California"	2.782685907	56352
Madera County	CA	"Madera County, California"	28.23243568	57585
Marin County	CA	"Marin County, California"	194.6160574	115246
Mariposa County	CA	"Mariposa County, California"	4.565251184	48820
Mendocino County	CA	"Mendocino County, California"	10.08529194	51416
Merced County	CA	"Merced County, California"	56.02295104	53672
Modoc County	CA	"Modoc County, California"	0.850782714	45507
Clay County	MN	"Clay County, Minnesota"	24.12935594	65269
Clearwater County	MN	"Clearwater County, Minnesota"	3.295003209	50386
Cook County	MN	"Cook County, Minnesota"	1.4885182	57432
Cottonwood County	MN	"Cottonwood County, Minnesota"	6.948322736	52087
Crow Wing County	MN	"Crow Wing County, Minnesota"	25.57225543	56549
Dakota County	MN	"Dakota County, Minnesota"	301.9160782	86036
Dodge County	MN	"Dodge County, Minnesota"	18.34083756	74575
Douglas County	MN	"Douglas County, Minnesota"	23.64488189	63819
Faribault County	MN	"Faribault County, Minnesota"	7.543976772	53156
Fillmore County	MN	"Fillmore County, Minnesota"	9.515684546	61207
Goodhue County	MN	"Goodhue County, Minnesota"	24.27834812	66800
Grant County	MN	"Grant County, Minnesota"	4.281096518	55466
Houston County	MN	"Houston County, Minnesota"	13.17889488	60382
Hubbard County	MN	"Hubbard County, Minnesota"	8.899467417	56709
Itasca County	MN	"Itasca County, Minnesota"	6.514878706	55139
Kanabec County	MN	"Kanabec County, Minnesota"	11.86709156	57163
Kandiyohi County	MN	"Kandiyohi County, Minnesota"	21.17580486	60294
Koochiching County	MN	"Koochiching County, Minnesota"	1.500081689	50870
Lac qui Parle County	MN	"Lac qui Parle County, Minnesota"	3.39104516	53071
Lake of the Woods County	MN	"Lake of the Woods County, Minnesota"	1.11947526	
Le Sueur County	MN	"Le Sueur County, Minnesota"	24.67514096	71080
Lyon County	MN	"Lyon County, Minnesota"	13.6565928	57730
McLeod County	MN	"McLeod County, Minnesota"	28.88520056	62121
Marshall County	MN	"Marshall County, Minnesota"	1.966332284	60118
Martin County	MN	"Martin County, Minnesota"	10.85408166	52798
Mille Lacs County	MN	"Mille Lacs County, Minnesota"	17.85038945	56135
Morrison County	MN	"Morrison County, Minnesota"	11.67131947	57815
Murray County	MN	"Murray County, Minnesota"	4.481447529	60231
Nicollet County	MN	"Nicollet County, Minnesota"	29.6544774	67399
Norman County	MN	"Norman County, Minnesota"	2.849353489	55085
Olmsted County	MN	"Olmsted County, Minnesota"	96.21176731	76951
Pennington County	MN	"Pennington County, Minnesota"	8.761801055	60122
Pine County	MN	"Pine County, Minnesota"	7.89966549	53422
Polk County	MN	"Polk County, Minnesota"	6.110249947	59343
Pope County	MN	"Pope County, Minnesota"	6.521000092	61275
Red Lake County	MN	"Red Lake County, Minnesota"	3.51361451	
Redwood County	MN	"Redwood County, Minnesota"	6.778749834	55404
Rice County	MN	"Rice County, Minnesota"	52.24732134	68584
Rock County	MN	"Rock County, Minnesota"	7.765919395	63005
St. Louis County	MN	"St. Louis County, Minnesota"	12.37434308	55646
Scott County	MN	"Scott County, Minnesota"	163.5645423	102152
Sibley County	MN	"Sibley County, Minnesota"	9.728052808	63439
Stearns County	MN	"Stearns County, Minnesota"	45.51354066	62789
Stevens County	MN	"Stevens County, Minnesota"	6.625494688	60559
Swift County	MN	"Swift County, Minnesota"	5.11933581	51620
Traverse County	MN	"Traverse County, Minnesota"	2.260615344	
Wabasha County	MN	"Wabasha County, Minnesota"	15.79119077	65226
Waseca County	MN	"Waseca County, Minnesota"	17.2985968	56762
Washington County	MN	"Washington County, Minnesota"	268.5337532	96671
Wilkin County	MN	"Wilkin County, Minnesota"	3.344677861	60595
Winona County	MN	"Winona County, Minnesota"	30.62724834	59329
Wright County	MN	"Wright County, Minnesota"	82.53761067	84974
Yellow Medicine County	MN	"Yellow Medicine County, Minnesota"	4.846233399	59210
Adair County	MO	"Adair County, Missouri"	17.22788461	41929
Andrew County	MO	"Andrew County, Missouri"	16.18458819	58772
Atchison County	MO	"Atchison County, Missouri"	3.742603079	50236
Audrain County	MO	"Audrain County, Missouri"	13.92255406	44261
Barry County	MO	"Barry County, Missouri"	17.13568346	44403
Barton County	MO	"Barton County, Missouri"	7.589260246	44125
Alleghany County	VA	"Alleghany County, Virginia"	13.16166491	47673
Amelia County	VA	"Amelia County, Virginia"	14.41253552	57946
Appomattox County	VA	"Appomattox County, Virginia"	18.62101195	58696
Arlington County	VA	"Arlington County, Virginia"	3544.221042	120071
Bath County	VA	"Bath County, Virginia"	3.070859496	
Bedford County	VA	"Bedford County, Virginia"	40.3634805	64199
Botetourt County	VA	"Botetourt County, Virginia"	23.96463698	71110
Brunswick County	VA	"Brunswick County, Virginia"	10.80708259	44434
Buckingham County	VA	"Buckingham County, Virginia"	11.20691911	49025
Campbell County	VA	"Campbell County, Virginia"	42.73456453	49664
Carroll County	VA	"Carroll County, Virginia"	23.71130231	44835
Charles City County	VA	"Charles City County, Virginia"	14.2977304	57198
Charlotte County	VA	"Charlotte County, Virginia"	9.365479495	40573
Clarke County	VA	"Clarke County, Virginia"	32.44275445	80026
Craig County	VA	"Craig County, Virginia"	5.756848887	55708
Cumberland County	VA	"Cumberland County, Virginia"	12.5575259	47469
Dickenson County	VA	"Dickenson County, Virginia"	16.50264075	29932
Essex County	VA	"Essex County, Virginia"	15.90260797	51954
Fairfax County	VA	"Fairfax County, Virginia"	1135.838976	124831
Floyd County	VA	"Floyd County, Virginia"	15.68642352	51521
Fluvanna County	VA	"Fluvanna County, Virginia"	36.64320305	76873
Frederick County	VA	"Frederick County, Virginia"	85.43721362	78002
Giles County	VA	"Giles County, Virginia"	18.14404576	54520
Goochland County	VA	"Goochland County, Virginia"	33.85166952	93994
Grayson County	VA	"Grayson County, Virginia"	13.40040972	36544
Greensville County	VA	"Greensville County, Virginia"	14.89731267	50300
Halifax County	VA	"Halifax County, Virginia"	16.06392607	42669
Henrico County	VA	"Henrico County, Virginia"	552.5123846	70307
Henry County	VA	"Henry County, Virginia"	51.44783501	37952
Isle of Wight County	VA	"Isle of Wight County, Virginia"	47.21749992	73991
James City County	VA	"James City County, Virginia"	212.3290055	87678
King and Queen County	VA	"King and Queen County, Virginia"	8.095729681	63982
King George County	VA	"King George County, Virginia"	57.43990739	94274
King William County	VA	"King William County, Virginia"	25.10484377	66987
Lancaster County	VA	"Lancaster County, Virginia"	31.62530641	53711
Lee County	VA	"Lee County, Virginia"	19.66348951	32888
Loudoun County	VA	"Loudoun County, Virginia"	315.1466574	142299
Louisa County	VA	"Louisa County, Virginia"	29.32228735	60975
Lunenburg County	VA	"Lunenburg County, Virginia"	10.67527454	44303
Madison County	VA	"Madison County, Virginia"	16.66205659	57895
Mathews County	VA	"Mathews County, Virginia"	38.34917295	64237
Mecklenburg County	VA	"Mecklenburg County, Virginia"	18.72069739	43207
Middlesex County	VA	"Middlesex County, Virginia"	31.47643145	57438
Montgomery County	VA	"Montgomery County, Virginia"	99.5290004	57977
Nelson County	VA	"Nelson County, Virginia"	12.11835842	64313
New Kent County	VA	"New Kent County, Virginia"	42.17917233	87904
Northampton County	VA	"Northampton County, Virginia"	22.398878	47227
Northumberland County	VA	"Northumberland County, Virginia"	23.87831779	62632
Nottoway County	VA	"Nottoway County, Virginia"	19.2099486	45535
Orange County	VA	"Orange County, Virginia"	41.03972113	71548
Page County	VA	"Page County, Virginia"	29.52737949	51792
Patrick County	VA	"Patrick County, Virginia"	14.07687103	43073
Powhatan County	VA	"Powhatan County, Virginia"	45.00970776	89090
Prince Edward County	VA	"Prince Edward County, Virginia"	24.10640045	47202
Prince George County	VA	"Prince George County, Virginia"	62.58437459	71912
Pulaski County	VA	"Pulaski County, Virginia"	40.80258191	53866
Rappahannock County	VA	"Rappahannock County, Virginia"	10.65080473	74284
Roanoke County	VA	"Roanoke County, Virginia"	149.3708547	68948
Hitchcock County	NE	"Hitchcock County, Nebraska"	1.422711315	
Howard County	NE	"Howard County, Nebraska"	4.391085463	59348
Kearney County	NE	"Kearney County, Nebraska"	5.002006034	60266
Kimball County	NE	"Kimball County, Nebraska"	1.392811271	
Lincoln County	NE	"Lincoln County, Nebraska"	5.221429787	59795
McPherson County	NE	"McPherson County, Nebraska"	0.179288726	
Morrill County	NE	"Morrill County, Nebraska"	1.235023825	
Nemaha County	NE	"Nemaha County, Nebraska"	6.70457387	51828
Valley County	NE	"Valley County, Nebraska"	2.758592072	
Wayne County	NE	"Wayne County, Nebraska"	8.453145063	56456
York County	NE	"York County, Nebraska"	9.525934977	60298
Douglas County	NV	"Douglas County, Nevada"	26.89349394	66810
Eureka County	NV	"Eureka County, Nevada"	0.171521314	
Lincoln County	NV	"Lincoln County, Nevada"	0.163360352	58462
Nye County	NV	"Nye County, Nevada"	1.095561075	47300
Washoe County	NV	"Washoe County, Nevada"	29.74022831	64791
Belknap County	NH	"Belknap County, New Hampshire"	61.20892366	69447
Coos County	NH	"Coos County, New Hampshire"	6.727305805	47117
Merrimack County	NH	"Merrimack County, New Hampshire"	63.65704184	75737
Sullivan County	NH	"Sullivan County, New Hampshire"	30.91182859	61312
Ascension Parish	LA	"Ascension Parish, Louisiana"	168.4382917	80527
Beauregard Parish	LA	"Beauregard Parish, Louisiana"	12.19172607	53209
Caddo Parish	LA	"Caddo Parish, Louisiana"	104.4194843	41797
Cameron Parish	LA	"Cameron Parish, Louisiana"	1.688206398	53423
Concordia Parish	LA	"Concordia Parish, Louisiana"	10.35084217	32500
East Carroll Parish	LA	"East Carroll Parish, Louisiana"	6.842538692	22346
Franklin Parish	LA	"Franklin Parish, Louisiana"	12.2293819	35282
Iberville Parish	LA	"Iberville Parish, Louisiana"	18.87142103	50161
Jefferson Davis Parish	LA	"Jefferson Davis Parish, Louisiana"	19.11190242	42105
St. Mary Parish	LA	"St. Mary Parish, Louisiana"	34.31863351	40485
Tensas Parish	LA	"Tensas Parish, Louisiana"	2.65527664	
Union Parish	LA	"Union Parish, Louisiana"	9.293490218	44100
Washington Parish	LA	"Washington Parish, Louisiana"	26.21324743	37570
West Carroll Parish	LA	"West Carroll Parish, Louisiana"	10.46713892	38500
Allegany County	NY	"Allegany County, New York"	17.42388527	48412
Cattaraugus County	NY	"Cattaraugus County, New York"	22.73882459	48703
Chemung County	NY	"Chemung County, New York"	79.76201278	54940
Columbia County	NY	"Columbia County, New York"	37.45656214	66787
Dutchess County	NY	"Dutchess County, New York"	143.595826	81219
Essex County	NY	"Essex County, New York"	8.044541747	56763
Genesee County	NY	"Genesee County, New York"	45.73333256	60524
Herkimer County	NY	"Herkimer County, New York"	16.44997606	54646
Lewis County	NY	"Lewis County, New York"	8.051961989	54524
Monroe County	NY	"Monroe County, New York"	446.34386	60075
New York County	NY	"New York County, New York"	28872.98361	86553
Onondaga County	NY	"Onondaga County, New York"	236.3638043	61359
Orleans County	NY	"Orleans County, New York"	39.81085475	52620
Putnam County	NY	"Putnam County, New York"	163.8108458	104486
Richmond County	NY	"Richmond County, New York"	3327.547873	82783
Anson County	NC	"Anson County, North Carolina"	16.02277531	40213
Beaufort County	NC	"Beaufort County, North Carolina"	20.70311948	45212
Brunswick County	NC	"Brunswick County, North Carolina"	62.0850975	58236
Cabarrus County	NC	"Cabarrus County, North Carolina"	241.3499779	67328
Carteret County	NC	"Carteret County, North Carolina"	51.48440193	57194
Chatham County	NC	"Chatham County, North Carolina"	43.20773505	67031
Cleveland County	NC	"Cleveland County, North Carolina"	82.76692456	42247
Cumberland County	NC	"Cumberland County, North Carolina"	198.0506846	46875
Davidson County	NC	"Davidson County, North Carolina"	117.9081896	49546
Monterey County	CA	"Monterey County, California"	51.65346726	71015
Napa County	CA	"Napa County, California"	71.21602293	88596
Nevada County	CA	"Nevada County, California"	41.21644899	66096
Orange County	CA	"Orange County, California"	1552.01724	90234
Placer County	CA	"Placer County, California"	111.0606451	89691
Plumas County	CA	"Plumas County, California"	2.992861546	55359
Riverside County	CA	"Riverside County, California"	129.5091693	67005
Sacramento County	CA	"Sacramento County, California"	634.0117498	67151
San Benito County	CA	"San Benito County, California"	17.85273846	86958
San Bernardino County	CA	"San Bernardino County, California"	41.9743309	63362
San Diego County	CA	"San Diego County, California"	302.5033275	78980
San Francisco County	CA	"San Francisco County, California"	7192.707909	112449
San Joaquin County	CA	"San Joaquin County, California"	216.0801225	64432
San Luis Obispo County	CA	"San Luis Obispo County, California"	33.03524277	73518
San Mateo County	CA	"San Mateo County, California"	657.9116122	122641
Santa Clara County	CA	"Santa Clara County, California"	579.0433972	124055
Santa Cruz County	CA	"Santa Cruz County, California"	234.954423	82234
Sierra County	CA	"Sierra County, California"	1.310814235	
Solano County	CA	"Solano County, California"	213.0538417	81472
Sonoma County	CA	"Sonoma County, California"	119.7940433	81018
Sutter County	CA	"Sutter County, California"	63.82739499	59050
Tehama County	CA	"Tehama County, California"	8.618358663	44514
Tulare County	CA	"Tulare County, California"	37.86801877	49687
Tuolumne County	CA	"Tuolumne County, California"	9.669456132	60108
Yolo County	CA	"Yolo County, California"	82.340559	70228
Yuba County	CA	"Yuba County, California"	49.83542352	58054
Ashley County	AR	"Ashley County, Arkansas"	7.952399581	44744
Baxter County	AR	"Baxter County, Arkansas"	29.0152241	42260
